"",ps,smoothed.percent.open,celltype,gene_peak
"894",0.877551020408163,12.7051885354404,delta,JUND_19:18391851-18393056
"895",0.897959183673469,12.6386789582349,delta,JUND_19:18391851-18393056
"896",0.918367346938775,12.5100944533602,delta,JUND_19:18391851-18393056
"897",0.938775510204082,12.3243641558645,delta,JUND_19:18391851-18393056
"898",0.959183673469388,12.0844121162534,delta,JUND_19:18391851-18393056
"899",0.979591836734694,11.7937874681291,delta,JUND_19:18391851-18393056
"900",1,11.4565802144316,delta,JUND_19:18391851-18393056
"901",0,2.8747682288805,alpha,FOSB_19:45970838-45971636
"902",0.0204081632653061,2.47789417856215,alpha,FOSB_19:45970838-45971636
"903",0.0408163265306122,2.15141286784951,alpha,FOSB_19:45970838-45971636
"904",0.0612244897959184,1.89159627366898,alpha,FOSB_19:45970838-45971636
"905",0.0816326530612245,1.68820632562587,alpha,FOSB_19:45970838-45971636
"906",0.102040816326531,1.52711166265236,alpha,FOSB_19:45970838-45971636
"907",0.122448979591837,1.39973415547234,alpha,FOSB_19:45970838-45971636
"908",0.142857142857143,1.2994219762169,alpha,FOSB_19:45970838-45971636
"909",0.163265306122449,1.22430449192296,alpha,FOSB_19:45970838-45971636
"910",0.183673469387755,1.1839062207219,alpha,FOSB_19:45970838-45971636
"911",0.204081632653061,1.17385557232444,alpha,FOSB_19:45970838-45971636
"912",0.224489795918367,1.18929580549931,alpha,FOSB_19:45970838-45971636
"913",0.244897959183673,1.22625732529967,alpha,FOSB_19:45970838-45971636
"914",0.26530612244898,1.28120091949337,alpha,FOSB_19:45970838-45971636
"915",0.285714285714286,1.35065598871134,alpha,FOSB_19:45970838-45971636
"916",0.306122448979592,1.43092789709427,alpha,FOSB_19:45970838-45971636
"917",0.326530612244898,1.51889453972309,alpha,FOSB_19:45970838-45971636
"918",0.346938775510204,1.65923879117219,alpha,FOSB_19:45970838-45971636
"919",0.36734693877551,1.87318306685228,alpha,FOSB_19:45970838-45971636
"920",0.387755102040816,2.15461895844533,alpha,FOSB_19:45970838-45971636
"921",0.408163265306122,2.49483930072295,alpha,FOSB_19:45970838-45971636
"922",0.428571428571429,2.87903095372217,alpha,FOSB_19:45970838-45971636
"923",0.448979591836735,3.28305896348082,alpha,FOSB_19:45970838-45971636
"924",0.469387755102041,3.671309862188,alpha,FOSB_19:45970838-45971636
"925",0.489795918367347,3.99684819536468,alpha,FOSB_19:45970838-45971636
"926",0.510204081632653,4.2337581855297,alpha,FOSB_19:45970838-45971636
"927",0.530612244897959,4.42562443876502,alpha,FOSB_19:45970838-45971636
"928",0.551020408163265,4.57813596912515,alpha,FOSB_19:45970838-45971636
"929",0.571428571428571,4.69620856698024,alpha,FOSB_19:45970838-45971636
"930",0.591836734693878,4.78621031391965,alpha,FOSB_19:45970838-45971636
"931",0.612244897959184,4.85555710237933,alpha,FOSB_19:45970838-45971636
