UMAP1,UMAP2,zval,cluster
-10.873109,0.59279937,0.238799156552433,alpha_1
-8.225884,-0.7383254,-2,alpha_1
-7.336874,-0.22601512,-1.51030019817617,alpha_1
6.8062835,-2.9192433,-2,beta_1
5.5730224,0.3931046,2,beta_2
-3.6613395,3.9847472,2,alpha_2
4.4016676,2.2521577,2,beta_2
-9.146223,1.2760397,-2,alpha_1
-8.163808,-2.1049998,-2,alpha_1
5.022987,0.114109136,1.80025964531285,beta_2
3.0471737,2.188912,-0.0640152375159822,beta_2
-7.304824,0.93943983,-1.83410839112667,alpha_1
6.802472,-4.147774,-0.862797268623511,beta_1
-0.2161605,1.9877115,2,delta_2
4.390519,1.7884153,2,beta_2
4.140546,3.0620847,2,beta_2
7.373234,-3.1459377,-1.80579444611032,beta_1
7.348464,-4.4422255,-1.72728472551794,beta_1
4.5034184,2.428523,2,beta_2
-10.331384,0.51573545,0.513667216680906,alpha_1
5.9831614,2.6928327,2,beta_2
7.2814064,-4.428089,-1.74009568920955,beta_1
8.068532,-1.0382097,0.322741069934221,beta_1
5.2162075,1.9545051,2,beta_2
8.720618,-3.7381399,2,beta_1
-9.519,1.3357452,0.187301957571,alpha_1
-8.237228,-1.785838,-1.77526573750397,alpha_1
7.9261193,-4.0264945,0.629409753586556,beta_1
-7.114434,1.0136708,1.44436939559509,alpha_1
-8.663087,-2.059006,-2,alpha_1
5.101198,-0.1977986,1.7851448904559,beta_2
7.704794,-4.1225476,-0.98451451512515,beta_1
-7.1846333,-0.23845185,-1.23892235804643,alpha_1
7.5507784,-0.70426756,1.92498663767334,beta_2
6.012435,-3.3712175,0.809745143098301,beta_1
-9.433323,-2.1293504,-2,alpha_1
6.7492394,-3.6977878,-2,beta_1
-3.5619113,3.1359603,2,alpha_2
-8.058988,-2.1932847,0.541863583388228,alpha_1
-8.349038,-0.3808567,-2,alpha_1
7.6087837,-3.872928,-0.330301857126725,beta_1
7.75462,-1.4979968,2,beta_1
6.641629,-1.2844063,0.77717610369087,beta_2
-7.9709477,-2.1293502,0.832328767414555,alpha_1
-4.0348153,3.3147051,2,alpha_2
-9.508471,0.9012061,-2,alpha_1
-10.372022,-1.0760086,-2,alpha_1
-9.042878,0.20001596,-2,alpha_1
6.914643,-2.9024901,0.933035658229263,beta_1
-9.9545145,0.9927573,-2,alpha_1
5.8358502,-3.5504212,-0.57109690558545,beta_1
-8.539578,-2.3695915,-2,alpha_1
4.8112583,2.5523736,2,beta_2
-9.01187,-1.004549,-2,alpha_1
-7.520162,-1.8878956,-2,alpha_1
6.6268125,-2.4462092,-0.916650210194607,beta_1
-9.375886,1.390116,-1.53751984419686,alpha_1
3.6295438,3.1722634,2,beta_2
-7.921012,0.41563866,-0.507420799352067,alpha_1
-9.285163,-1.0286667,-1.75808439518987,alpha_1
-8.40592,0.86825055,-2,alpha_1
-8.168047,-0.74941,-0.551617318547468,alpha_1
-8.514221,-1.677165,-2,alpha_1
-7.2415223,-0.49057716,-2,alpha_1
-6.81374,0.031576447,-2,alpha_1
-0.31251606,-0.4737681,-0.304518164412552,delta_1
5.470216,1.8898101,2,beta_2
6.1352,-3.074676,1.75637832901225,beta_1
-0.13667919,-0.9277905,-0.39577042972976,delta_1
-9.525447,-0.67008877,-2,alpha_1
-6.847661,0.022859238,-2,alpha_1
-0.25655866,-0.48525247,-0.812126425864919,delta_1
-7.514285,1.3097795,0.254202127821277,alpha_1
-10.166571,0.25286785,-2,alpha_1
