"",motif,ps,zval,celltype,ps.scaled
"33",NEUROD1,6.74151114369616,-0.51715078620711,alpha,0.323232323232323
"34",NEUROD1,6.95218336693667,-0.465556046036571,alpha,0.333333333333333
"35",NEUROD1,7.16285559017717,-0.412408899587808,alpha,0.343434343434343
"36",NEUROD1,7.37352781341768,-0.361551478434164,alpha,0.353535353535354
"37",NEUROD1,7.58420003665818,-0.313417889398235,alpha,0.363636363636364
"38",NEUROD1,7.79487225989869,-0.268404714323733,alpha,0.373737373737374
"39",NEUROD1,8.00554448313919,-0.226908535054374,alpha,0.383838383838384
"40",NEUROD1,8.2162167063797,-0.18932593343387,alpha,0.393939393939394
"41",NEUROD1,8.4268889296202,-0.156053491305937,alpha,0.404040404040404
"42",NEUROD1,8.63756115286071,-0.127487790514287,alpha,0.414141414141414
"43",NEUROD1,8.84823337610121,-0.104025412902635,alpha,0.424242424242424
"44",NEUROD1,9.05890559934172,-0.0860629403146956,alpha,0.434343434343434
"45",NEUROD1,9.26957782258222,-0.0739969545941813,alpha,0.444444444444444
"46",NEUROD1,9.48025004582273,-0.0682240375848067,alpha,0.454545454545455
"47",NEUROD1,9.69092226906323,-0.0691407711302856,alpha,0.464646464646465
"48",NEUROD1,9.90159449230374,-0.0771437370743319,alpha,0.474747474747475
"49",NEUROD1,10.1122667155442,-0.0926295172606598,alpha,0.484848484848485
"50",NEUROD1,10.3229389387847,-0.115964912245374,alpha,0.494949494949495
"51",NEUROD1,10.5336111620253,-0.147016849072679,alpha,0.505050505050505
"52",NEUROD1,10.7442833852658,-0.185237664659039,alpha,0.515151515151515
"53",NEUROD1,10.9549556085063,-0.230067158632895,alpha,0.525252525252525
"54",NEUROD1,11.1656278317468,-0.280945130622687,alpha,0.535353535353535
"55",NEUROD1,11.3763000549873,-0.337311380256857,alpha,0.545454545454545
"56",NEUROD1,11.5869722782278,-0.398605707163848,alpha,0.555555555555556
"57",NEUROD1,11.7976445014683,-0.464267910972099,alpha,0.565656565656566
"58",NEUROD1,12.0083167247088,-0.533737791310052,alpha,0.575757575757576
"59",NEUROD1,12.2189889479493,-0.60645514780615,alpha,0.585858585858586
"60",NEUROD1,12.4296611711898,-0.681859780088831,alpha,0.595959595959596
"61",NEUROD1,12.6403333944303,-0.75939148778654,alpha,0.606060606060606
"62",NEUROD1,12.8510056176708,-0.838490070527715,alpha,0.616161616161616
"63",NEUROD1,13.0616778409113,-0.9185953279408,alpha,0.626262626262626
"64",NEUROD1,13.2723500641518,-0.999147059654235,alpha,0.636363636363636
"65",NEUROD1,13.4830222873923,-1.07958506529646,alpha,0.646464646464646
"66",NEUROD1,13.6936945106328,-1.15934914449592,alpha,0.656565656565657
"67",NEUROD1,13.9043667338733,-1.23787909688106,alpha,0.666666666666667
"68",NEUROD1,14.1150389571138,-1.31461472208031,alpha,0.676767676767677
"69",NEUROD1,14.3257111803543,-1.38899581972211,alpha,0.686868686868687
"70",NEUROD1,14.5363834035948,-1.46046218943492,alpha,0.696969696969697
"71",NEUROD1,14.7470556268354,-1.52845363084716,alpha,0.707070707070707
"72",NEUROD1,14.9577278500759,-1.59240994358729,alpha,0.717171717171717
"73",NEUROD1,15.1684000733164,-1.65177092728374,alpha,0.727272727272727
"74",NEUROD1,15.3790722965569,-1.70597638156495,alpha,0.737373737373737
"75",NEUROD1,15.5897445197974,-1.75447081220221,alpha,0.747474747474748
"76",NEUROD1,15.8004167430379,-1.79699240678387,alpha,0.757575757575758
"77",NEUROD1,16.0110889662784,-1.83374118681927,alpha,0.767676767676768
"78",NEUROD1,16.2217611895189,-1.86495768624783,alpha,0.777777777777778
"79",NEUROD1,16.4324334127594,-1.89088243900899,alpha,0.787878787878788
"80",NEUROD1,16.6431056359999,-1.91175597904217,alpha,0.797979797979798
"81",NEUROD1,16.8537778592404,-1.9278188402868,alpha,0.808080808080808
"82",NEUROD1,17.0644500824809,-1.9393115566823,alpha,0.818181818181818
"83",NEUROD1,17.2751223057214,-1.94647466216811,alpha,0.828282828282828
"84",NEUROD1,17.4857945289619,-1.94954869068366,alpha,0.838383838383838
"85",NEUROD1,17.6964667522024,-1.94877417616836,alpha,0.848484848484848
"86",NEUROD1,17.9071389754429,-1.94439165256164,alpha,0.858585858585859
"87",NEUROD1,18.1178111986834,-1.93664165380295,alpha,0.868686868686869
"88",NEUROD1,18.3284834219239,-1.92576471383169,alpha,0.878787878787879
"89",NEUROD1,18.5391556451644,-1.9120013665873,alpha,0.888888888888889
"90",NEUROD1,18.749827868405,-1.89559214600922,alpha,0.898989898989899
"91",NEUROD1,18.9605000916455,-1.87677758603685,alpha,0.909090909090909
"92",NEUROD1,19.171172314886,-1.85579822060964,alpha,0.919191919191919
"93",NEUROD1,19.3818445381265,-1.83289458366701,alpha,0.929292929292929
"94",NEUROD1,19.592516761367,-1.80830720914838,alpha,0.939393939393939
"95",NEUROD1,19.8031889846075,-1.78227663099319,alpha,0.949494949494949
