prom_peak,gene,celltype,mean_frac_open,odds
1:107683718-107685071,NTNG1,alpha,0.0273252128946869,0.805793853958788
1:108506172-108508658,VAV3,alpha,0.0360536183796501,2.14096554248929
1:10856274-10856971,CASZ1,alpha,0.0229540229259802,0.963664124127477
1:108742362-108743726,SLC25A24,alpha,0.109633612365946,0.972335531227333
1:109102345-109103320,FAM102B,alpha,0.0672894270418223,1.10123072985783
1:109203379-109204279,HENMT1,alpha,0.030605363901307,0.96338276588555
1:109234334-109236343,PRPF38B,alpha,0.10880874451831,0.813506801160867
1:109265037-109265364,FNDC7,alpha,0.00222587704695248,1.28664448332245
1:109288954-109290197,STXBP3,alpha,0.116582666764457,0.748206783850169
1:109419184-109419970,GPSM2,alpha,0.0598674921785271,0.885334516930946
1:109505311-109506506,CLCC1,alpha,0.108701919677098,0.84504509736072
1:109505311-109506506,AKNAD1,alpha,0.108701919677098,0.84504509736072
1:109583994-109585092,WDR47,alpha,0.133778464974864,0.647445439330713
1:109618317-109618996,TAF13,alpha,0.0473581063172591,0.984444918795893
1:109632902-109633952,TMEM167B,alpha,0.0609322704246002,0.889941273559416
1:109656247-109657250,KIAA1324,alpha,0.0991241676056437,0.800061256731796
1:109656247-109657250,C1orf194,alpha,0.0991241676056437,0.800061256731796
1:109756132-109757774,SARS,alpha,0.0804029969479421,0.889865667138622
1:109791682-109793007,CELSR2,alpha,0.0377593456729936,1.10007380336809
1:109825478-109826295,PSRC1,alpha,0.0975620301559303,0.841219126202184
1:109849637-109850651,MYBPHL,alpha,0.110905099962353,1.94770815044147
1:109940089-109940935,SORT1,alpha,0.0945708408137295,0.79829951609466
1:109968597-109969589,PSMA5,alpha,0.132205823238746,0.695723902822826
1:110008863-110009907,SYPL2,alpha,0.0100593548454866,1.58990526121744
1:110025841-110026999,ATXN7L2,alpha,0.0636660109615981,0.778968467502112
1:110036309-110037188,CYB561D1,alpha,0.0503913128050815,0.774593540064634
1:110051748-110052695,AMIGO1,alpha,0.0303374108096986,0.723884734902949
1:110090972-110091770,GNAI3,alpha,0.0681282693419083,0.756948917050763
1:110162946-110163892,AMPD2,alpha,0.0646520070596308,1.27013064172185
1:110198136-110199425,GSTM4,alpha,0.0439973911854406,0.762919884165016
1:110210394-110211341,GSTM2,alpha,0.0528816727775978,2.00555670491605
1:110229993-110230902,GSTM1,alpha,0.0169296270959569,1.49371621258019
1:110282361-110283465,GSTM3,alpha,0.050899176295127,0.64517094254324
1:11035595-11036585,C1orf127,alpha,0.00942712810746337,0.207683610579662
