UMAP1,UMAP2,zval,cluster
-10.300314,1.6628476,-4.14800230394743,alpha_1
0.02424571,1.0492387,14.0360346954905,delta_2
9.23605,-2.8542454,1.63732217839335,beta_1
-9.707262,1.2327415,1.33398443065088,alpha_1
-8.55713,-1.9539051,-4.99261472209791,alpha_1
7.318273,-3.415284,-2.08905751383579,beta_1
8.960629,-3.7633548,-4.02469862327164,beta_1
7.3019686,-2.0603542,-1.17919291194808,beta_1
-7.546826,-0.71356684,-2.78508240837475,alpha_1
6.5926123,-2.7327929,-2.13433522316056,beta_1
7.020975,-3.9396167,1.95745043463815,beta_1
9.451615,-2.8128526,1.23288747902167,beta_1
-9.753069,1.2841417,1.09903910806849,alpha_1
-7.859094,-0.64599735,-1.17366139574595,alpha_1
-0.30444416,-0.28166062,1.34559582450744,delta_1
5.6895814,0.028801363,0.984956862963603,beta_2
6.274025,-1.0776864,-2.88558230028923,beta_2
-8.044734,-0.033220626,-0.348718129387078,alpha_1
-9.6516075,-1.7979134,-3.4014236336567,alpha_1
6.0413656,-2.838148,-0.411079626463543,beta_1
-0.6423212,2.4888513,-6.2438718459195,delta_2
8.544123,-1.448854,-0.270776003717371,beta_1
2.9229991,2.1897209,1.03667584381841,beta_2
6.3776126,-4.112003,-0.974251223889944,beta_1
-4.317294,3.1271574,19.7498125994368,alpha_2
0.36023012,-0.8542309,-1.05569055257507,delta_1
6.4151692,-1.6846968,0.714294343089553,beta_2
6.4463515,1.9431329,7.58514338632183,beta_2
4.2951517,2.363829,4.55039067721742,beta_2
-7.8443027,-0.43381545,1.93846221315188,alpha_1
-9.630224,0.84154516,-0.922806879330103,alpha_1
9.101496,-2.7835484,-2.01139225168145,beta_1
7.511976,-3.9552097,0.651222364361676,beta_1
-8.264368,-2.0765898,1.09578277288342,alpha_1
7.7566595,-4.1441374,-2.08712592515941,beta_1
9.280139,-0.6451091,-1.87765282729295,beta_1
-3.3200557,4.6982794,-6.13748294467433,alpha_2
-3.1494293,4.5993857,-1.31113885256957,alpha_2
7.3907743,-3.5003543,-3.58350030803358,beta_1
-10.357726,-1.3690745,-4.68563597460047,alpha_1
-3.4372253,3.6480033,6.50355297920721,alpha_2
9.180004,-0.47596562,-1.97563328628949,beta_1
-3.396379,4.6619673,-5.84539026864616,alpha_2
7.5089335,-3.5997841,-3.57646252656977,beta_1
-5.0944047,2.0352316,3.25434057437418,alpha_2
6.308975,-3.7460783,0.433956175131904,beta_1
-10.007995,-1.51942,-4.82927417603734,alpha_1
-9.3766775,-2.369424,-6.74742592418919,alpha_1
1.0194141,3.5174973,-5.27199460434994,beta_2
-7.1392746,0.8926823,3.071159870334,alpha_1
-8.52401,-2.4021206,-4.54107985980956,alpha_1
9.29785,-2.9890387,3.11375990349449,beta_1
-2.4818091,3.0880654,5.90994504466288,alpha_2
-0.05742649,0.7815518,10.4375596604625,delta_2
5.9265614,-1.1403046,-0.959452767905048,beta_2
-10.614918,-0.48720437,-1.17536399321321,alpha_1
-8.205127,-2.0713065,-6.27007490035753,alpha_1
-10.873109,0.59279937,-0.767628338194082,alpha_1
-8.225884,-0.7383254,-9.96153745321849,alpha_1
-7.336874,-0.22601512,-2.82939101283512,alpha_1
6.8062835,-2.9192433,-7.02891677105972,beta_1
5.5730224,0.3931046,5.01747970447469,beta_2
-3.6613395,3.9847472,5.87930790199496,alpha_2
4.4016676,2.2521577,19.3922982976644,beta_2
-9.146223,1.2760397,-6.11664713176544,alpha_1
-8.163808,-2.1049998,-4.76825202268786,alpha_1
5.022987,0.114109136,1.69996628645195,beta_2
3.0471737,2.188912,-0.680651297696732,beta_2
-7.304824,0.93943983,-1.09409330169842,alpha_1
6.802472,-4.147774,-0.810607870150933,beta_1
-0.2161605,1.9877115,10.6167533377485,delta_2
4.390519,1.7884153,2.12812914653627,beta_2
4.140546,3.0620847,12.2330831380811,beta_2
7.373234,-3.1459377,-2.84729251785397,beta_1
7.348464,-4.4422255,-2.95977247858461,beta_1
4.5034184,2.428523,4.95082361887714,beta_2
-10.331384,0.51573545,-0.442170299573659,alpha_1
5.9831614,2.6928327,3.38366454688556,beta_2
7.2814064,-4.428089,-3.41905540098432,beta_1
8.068532,-1.0382097,-0.956934951297077,beta_1
5.2162075,1.9545051,5.53360850667326,beta_2
8.720618,-3.7381399,0.691320153386757,beta_1
-9.519,1.3357452,0.373139077506934,alpha_1
-8.237228,-1.785838,-2.30248870119063,alpha_1
7.9261193,-4.0264945,1.30172578419709,beta_1
-7.114434,1.0136708,0.520208902979097,alpha_1
-8.663087,-2.059006,-5.18883051883789,alpha_1
5.101198,-0.1977986,1.90875794256534,beta_2
7.704794,-4.1225476,-1.8284693550312,beta_1
-7.1846333,-0.23845185,-0.812920145604427,alpha_1
7.5507784,-0.70426756,2.09831024650465,beta_2
6.012435,-3.3712175,2.81482760538927,beta_1
-9.433323,-2.1293504,-4.99584109181565,alpha_1
