"",motif,ps,zval,celltype,ps.scaled
"65",Rfx1,13.4830222873923,-0.495840851972218,alpha,0.646464646464646
"66",Rfx1,13.6936945106328,-0.597812918558606,alpha,0.656565656565657
"67",Rfx1,13.9043667338733,-0.698167491615994,alpha,0.666666666666667
"68",Rfx1,14.1150389571138,-0.796053563916745,alpha,0.676767676767677
"69",Rfx1,14.3257111803543,-0.890620128233223,alpha,0.686868686868687
"70",Rfx1,14.5363834035948,-0.981016177337791,alpha,0.696969696969697
"71",Rfx1,14.7470556268354,-1.06639070400281,alpha,0.707070707070707
"72",Rfx1,14.9577278500759,-1.14589270100065,alpha,0.717171717171717
"73",Rfx1,15.1684000733164,-1.21867116110367,alpha,0.727272727272727
"74",Rfx1,15.3790722965569,-1.28387507708423,alpha,0.737373737373737
"75",Rfx1,15.5897445197974,-1.34066053117175,alpha,0.747474747474748
"76",Rfx1,15.8004167430379,-1.38862601558981,alpha,0.757575757575758
"77",Rfx1,16.0110889662784,-1.42806574129716,alpha,0.767676767676768
"78",Rfx1,16.2217611895189,-1.45933494824006,alpha,0.777777777777778
"79",Rfx1,16.4324334127594,-1.48278887636479,alpha,0.787878787878788
"80",Rfx1,16.6431056359999,-1.49878276561764,alpha,0.797979797979798
"81",Rfx1,16.8537778592404,-1.50767185594488,alpha,0.808080808080808
"82",Rfx1,17.0644500824809,-1.5098113872928,alpha,0.818181818181818
"83",Rfx1,17.2751223057214,-1.50555659960768,alpha,0.828282828282828
"84",Rfx1,17.4857945289619,-1.49526273283579,alpha,0.838383838383838
"85",Rfx1,17.6964667522024,-1.47928502692342,alpha,0.848484848484848
"86",Rfx1,17.9071389754429,-1.45797872181685,alpha,0.858585858585859
"87",Rfx1,18.1178111986834,-1.43169905746235,alpha,0.868686868686869
"88",Rfx1,18.3284834219239,-1.40080127380621,alpha,0.878787878787879
"89",Rfx1,18.5391556451644,-1.36564061079471,alpha,0.888888888888889
"90",Rfx1,18.749827868405,-1.32657230837413,alpha,0.898989898989899
"91",Rfx1,18.9605000916455,-1.28395160649074,alpha,0.909090909090909
"92",Rfx1,19.171172314886,-1.23813374509083,alpha,0.919191919191919
"93",Rfx1,19.3818445381265,-1.18947396412068,alpha,0.929292929292929
"94",Rfx1,19.592516761367,-1.13832750352657,alpha,0.939393939393939
"95",Rfx1,19.8031889846075,-1.08504960325478,alpha,0.949494949494949
"96",Rfx1,20.013861207848,-1.02999550325158,alpha,0.95959595959596
"97",Rfx1,20.2245334310885,-0.973520443463268,alpha,0.96969696969697
"98",Rfx1,20.435205654329,-0.915979663836113,alpha,0.97979797979798
"99",Rfx1,20.6458778775695,-0.857728404316396,alpha,0.98989898989899
"100",Rfx1,20.85655010081,-0.7991219048504,alpha,1
"101",Rfx1,0,0.0527749223513815,beta,0
"102",Rfx1,0.186793435555843,0.102978790808389,beta,0.0101010101010101
"103",Rfx1,0.373586871111687,0.152688899940507,beta,0.0202020202020202
"104",Rfx1,0.56038030666753,0.201411490422843,beta,0.0303030303030303
"105",Rfx1,0.747173742223374,0.248652802930509,beta,0.0404040404040404
"106",Rfx1,0.933967177779217,0.293919078138613,beta,0.0505050505050505
"107",Rfx1,1.12076061333506,0.336716556722266,beta,0.0606060606060606
"108",Rfx1,1.3075540488909,0.376551479356577,beta,0.0707070707070707
"109",Rfx1,1.49434748444675,0.412930086716655,beta,0.0808080808080808
"110",Rfx1,1.68114092000259,0.44535861947761,beta,0.0909090909090909
"111",Rfx1,1.86793435555843,0.473343318314553,beta,0.101010101010101
"112",Rfx1,2.05472779111428,0.496390423902592,beta,0.111111111111111
"113",Rfx1,2.24152122667012,0.514006176916837,beta,0.121212121212121
"114",Rfx1,2.42831466222596,0.525696818032398,beta,0.131313131313131
"115",Rfx1,2.61510809778181,0.530969411476221,beta,0.141414141414141
