"",ps,smoothed.percent.open,celltype,gene,peak,avg.open
"1081",0.808080808080808,2.78502038321182,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1082",0.818181818181818,2.93598595422019,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1083",0.828282828282828,3.09485797662246,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1084",0.838383838383838,3.26201992499279,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1085",0.848484848484848,3.43787206920387,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1086",0.858585858585859,3.62283182696114,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1087",0.868686868686869,3.81733408442294,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1088",0.878787878787879,4.02183147911533,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1089",0.888888888888889,4.23679463887319,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1090",0.898989898989899,4.46285254405025,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1091",0.909090909090909,4.70178315752595,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1092",0.919191919191919,4.95466005531869,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1093",0.929292929292929,5.22236279090223,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1094",0.939393939393939,5.50583111658457,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1095",0.94949494949495,5.806069264469,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1096",0.95959595959596,6.12415054213243,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1097",0.96969696969697,6.46122226641416,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1098",0.97979797979798,6.81851106045144,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1099",0.98989898989899,7.19732854096842,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1100",1,7.59907742483188,alpha,NEUROG3,10:71332283-71332739,1.65682197836602
"1101",0,4.04128778997109,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1102",0.0101010101010101,3.77074861118935,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1103",0.0202020202020202,3.5260938531705,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1104",0.0303030303030303,3.30568963449378,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1105",0.0404040404040404,3.10803555918011,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1106",0.0505050505050505,2.93177028528919,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1107",0.0606060606060606,2.77567592021012,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1108",0.0707070707070707,2.63824762931172,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1109",0.0808080808080808,2.51710606592278,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1110",0.0909090909090909,2.41044427782118,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1111",0.101010101010101,2.31670786002072,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1112",0.111111111111111,2.23454158129948,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1113",0.121212121212121,2.16275827862308,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1114",0.131313131313131,2.10031267126944,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1115",0.141414141414141,2.04627922203286,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1116",0.151515151515152,1.99983333939645,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1117",0.161616161616162,1.96142167861268,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1118",0.171717171717172,1.93621304893428,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1119",0.181818181818182,1.92348440328136,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1120",0.191919191919192,1.92173695158273,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1121",0.202020202020202,1.92960974532931,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1122",0.212121212121212,1.9458319495101,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1123",0.222222222222222,1.96918264828542,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1124",0.232323232323232,1.99845696835608,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1125",0.242424242424242,2.03243778506337,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1126",0.252525252525253,2.06987266657211,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1127",0.262626262626263,2.1094560280878,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1128",0.272727272727273,2.15016136740942,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1129",0.282828282828283,2.20307061059932,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1130",0.292929292929293,2.27218696941687,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1131",0.303030303030303,2.35488856204955,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1132",0.313131313131313,2.44839478925205,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1133",0.323232323232323,2.54964774820696,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1134",0.333333333333333,2.6552192703406,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1135",0.343434343434343,2.76124838536723,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1136",0.353535353535354,2.8634162291994,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1137",0.363636363636364,2.956966690513,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1138",0.373737373737374,3.05000273291652,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1139",0.383838383838384,3.15821275801221,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1140",0.393939393939394,3.27988474172979,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1141",0.404040404040404,3.4129801817755,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1142",0.414141414141414,3.55519504261801,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1143",0.424242424242424,3.70389516037588,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1144",0.434343434343434,3.85606517125652,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1145",0.444444444444444,4.00827486395315,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1146",0.454545454545455,4.15666764297938,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1147",0.464646464646465,4.29697621419932,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1148",0.474747474747475,4.42457053176401,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1149",0.484848484848485,4.53454233743019,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1150",0.494949494949495,4.62442412980436,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1151",0.505050505050505,4.70494650302945,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1152",0.515151515151515,4.7781154311646,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1153",0.525252525252525,4.8441632963828,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1154",0.535353535353535,4.90337443360354,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1155",0.545454545454546,4.95608030026935,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1156",0.555555555555556,5.00265457615958,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1157",0.565656565656566,5.04350829160323,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1158",0.575757575757576,5.07908507362536,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1159",0.585858585858586,5.10985659001829,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1160",0.595959595959596,5.1363182614415,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1161",0.606060606060606,5.15898530176194,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1162",0.616161616161616,5.17838913724899,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1163",0.626262626262626,5.19502346803944,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1164",0.636363636363637,5.20552708279493,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1165",0.646464646464647,5.20817118764812,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1166",0.656565656565657,5.2037732697699,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1167",0.666666666666667,5.19317441399387,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1168",0.676767676767677,5.1772304082365,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1169",0.686868686868687,5.15680391339815,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1170",0.696969696969697,5.13275776184317,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1171",0.707070707070707,5.10594942130103,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1172",0.717171717171717,5.07722663786175,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1173",0.727272727272727,5.04742425292282,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1174",0.737373737373738,5.01736217459381,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1175",0.747474747474748,4.98784447416435,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1176",0.757575757575758,4.95965957268989,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1177",0.767676767676768,4.9335814813856,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1178",0.777777777777778,4.91037206215658,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1179",0.787878787878788,4.89078428105002,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1180",0.797979797979798,4.8755664375436,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1181",0.808080808080808,4.86546736629436,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1182",0.818181818181818,4.861242625263,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1183",0.828282828282828,4.86366170510627,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1184",0.838383838383838,4.87351631964668,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1185",0.848484848484848,4.89162986649925,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1186",0.858585858585859,4.91886818118169,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1187",0.868686868686869,4.95615174812301,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1188",0.878787878787879,5.00446957907617,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1189",0.888888888888889,5.06489502505535,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1190",0.898989898989899,5.13840194966865,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1191",0.909090909090909,5.22285619007962,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1192",0.919191919191919,5.31712978156565,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1193",0.929292929292929,5.42095424891513,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1194",0.939393939393939,5.53406185155875,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1195",0.94949494949495,5.65617826512624,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1196",0.95959595959596,5.78701539065413,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1197",0.96969696969697,5.92626426164876,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1198",0.97979797979798,6.07358803540839,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1199",0.98989898989899,6.22861507111717,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1200",1,6.39093211340137,alpha,OLIG1,21:34442179-34443951,3.99129737657078
"1201",0,1.62370809205447,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1202",0.0101010101010101,1.56687400494633,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1203",0.0202020202020202,1.51451391282843,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1204",0.0303030303030303,1.46583887446372,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1205",0.0404040404040404,1.42012175293647,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1206",0.0505050505050505,1.37681861686795,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1207",0.0606060606060606,1.33630291604116,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1208",0.0707070707070707,1.29891264114374,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1209",0.0808080808080808,1.26491549186718,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1210",0.0909090909090909,1.23455931960937,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1211",0.101010101010101,1.20699865435029,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1212",0.111111111111111,1.18179001528835,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1213",0.121212121212121,1.15925263067341,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1214",0.131313131313131,1.13969817038625,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1215",0.141414141414141,1.12343537590104,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1216",0.151515151515152,1.11077519052061,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1217",0.161616161616162,1.10185502056622,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1218",0.171717171717172,1.09549263094167,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1219",0.181818181818182,1.09161327810456,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1220",0.191919191919192,1.09047033468732,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1221",0.202020202020202,1.09232666613094,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1222",0.212121212121212,1.09745827050617,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1223",0.222222222222222,1.10615835930813,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1224",0.232323232323232,1.11874194574243,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1225",0.242424242424242,1.13716408877432,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1226",0.252525252525253,1.16718016374447,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1227",0.262626262626263,1.20898805412196,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1228",0.272727272727273,1.26239634431702,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1229",0.282828282828283,1.32732351449819,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1230",0.292929292929293,1.4037723760489,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1231",0.303030303030303,1.4918058962395,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1232",0.313131313131313,1.59152340976498,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1233",0.323232323232323,1.7030363910633,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1234",0.333333333333333,1.82644311733349,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1235",0.343434343434343,1.96180170291654,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1236",0.353535353535354,2.10910114382726,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1237",0.363636363636364,2.26823018737465,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1238",0.373737373737374,2.43894404463152,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1239",0.383838383838384,2.62082919935432,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1240",0.393939393939394,2.81326683927255,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1241",0.404040404040404,3.01539574423442,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1242",0.414141414141414,3.22607580565364,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1243",0.424242424242424,3.44385371255725,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1244",0.434343434343434,3.66693270426514,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1245",0.444444444444444,3.89314863414858,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1246",0.454545454545455,4.11995488153276,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1247",0.464646464646465,4.34441885142608,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1248",0.474747474747475,4.56323287104096,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1249",0.484848484848485,4.77274218227789,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1250",0.494949494949495,4.96899239638468,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1251",0.505050505050505,5.14779818375,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1252",0.515151515151515,5.30483409446303,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1253",0.525252525252525,5.43574724041177,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1254",0.535353535353535,5.53629014100455,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1255",0.545454545454546,5.60247039865095,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1256",0.555555555555556,5.63071211975018,alpha,OLIG3,6:137814291-137815099,3.19038782399625
