UMAP1,UMAP2,zval,cluster
-8.515821,1.5239079,-1.39857775251517,alpha_1
5.857903,-0.76220924,-0.719595660086772,beta_2
6.4304976,-4.358419,1.63135135030234,beta_1
6.9135513,0.81250817,-0.149223608256259,beta_2
7.704173,-2.8976655,1.95441258466923,beta_1
2.1576161,3.5724022,0.232340475450351,beta_2
6.719298,-2.9289117,0.0250691833456984,beta_1
6.547197,1.6532633,-0.656899022740325,beta_2
-8.992585,-0.28724453,-0.840770854223538,alpha_1
-9.935698,1.7755075,-0.184192506329552,alpha_1
-7.871752,-2.6606605,-0.347898338013913,alpha_1
8.647873,-2.4278316,-1.14081112916838,beta_1
-9.688768,1.8294665,-1.45443405996429,alpha_1
-7.377233,-0.7203727,0.549580988594418,alpha_1
8.336548,-2.635538,-0.16150524047035,beta_1
6.359828,-3.171131,-0.585928938702872,beta_1
-9.252346,-2.206548,0.16789140490434,alpha_1
5.7894354,1.0681833,0.996421827791334,beta_2
7.989452,-4.342075,-0.947699204386386,beta_1
-2.930374,3.0785196,-0.408296855388115,alpha_2
-7.733745,-1.5750223,-0.470934724000174,alpha_1
-8.023307,-0.0259566,0.32850055292584,alpha_1
7.978874,-4.122193,-0.505032653801497,beta_1
-8.670868,-2.4501715,-0.25236600540724,alpha_1
3.7055857,3.1691,0.0667756977379954,beta_2
6.9857287,-4.1113434,0.0249259869830002,beta_1
-8.491774,-2.253164,1.18455142413208,alpha_1
9.194035,-1.7490621,3.54042597092164,beta_1
7.573401,-3.1583617,2.54650953646179,beta_1
5.0622706,1.5085797,0.123887297645747,beta_2
6.158407,-3.712306,-0.692409906977426,beta_1
8.279462,-3.1846557,-1.72012078809909,beta_1
5.5051203,0.6492815,1.79729126495204,beta_2
5.6122746,-1.0705779,1.06258922670035,beta_2
-10.40007,-0.2391273,1.8737839199244,alpha_1
-10.361009,0.8389362,-0.847279682990641,alpha_1
8.567711,-0.91071093,-2.03020274955561,beta_1
-10.652637,0.70168316,0.0208364516581644,alpha_1
9.559974,-1.8758881,-0.392352379371647,beta_1
0.41392753,-0.7041415,0.113349525148303,delta_1
-7.7798557,-2.1909904,-0.710605003592272,alpha_1
6.427136,-1.0192373,-0.111336100817947,beta_2
5.4398375,2.393817,-1.10946615838125,beta_2
-7.169773,0.07581854,-0.582342200358104,alpha_1
-8.126657,-1.2207452,1.74852157343226,alpha_1
7.1054115,-4.68363,-1.36044510653333,beta_1
8.900408,-3.0761712,1.32153039828147,beta_1
7.589391,-2.5790539,-0.604063499469117,beta_1
-9.746881,-1.4472257,-1.13636101940241,alpha_1
0.30399385,0.9497389,0.670495275371495,delta_2
5.742777,2.2662811,-0.256263804470677,beta_2
5.7394624,-3.846255,-0.341080396920893,beta_1
-8.103302,-0.3197118,1.18867849972386,alpha_1
-3.6843708,2.738483,0.195492276204292,alpha_2
6.7729387,-4.249729,-0.234533713906667,beta_1
-7.095654,0.611846,0.173259120271633,alpha_1
6.4990153,-1.1508458,-1.18967897828585,beta_2
-9.198604,-2.179125,-1.11227609669679,alpha_1
7.7266,-1.9348502,2.47160738095455,beta_1
0.017503005,-0.4932215,-2.32932012030903,delta_1
-4.2873707,3.2639396,1.2696045272886,alpha_2
-7.1382384,-1.2240108,-0.158165513604794,alpha_1
6.535278,-3.909713,0.608279451263381,beta_1
8.009166,-4.023902,-0.170128482320182,beta_1
-7.894257,-2.5328147,-0.552849177604716,alpha_1
2.7155614,2.539869,-1.67952489412082,beta_2
5.571258,2.0886042,1.29726661704632,beta_2
-9.904051,1.712939,0.350932668595275,alpha_1
-3.191791,4.6833034,-0.370851418760076,alpha_2
7.9829803,-2.7242324,-0.205262346981163,beta_1
-10.967053,0.68931425,-0.20946252575806,alpha_1
5.3158154,0.2570027,0.671607040785012,beta_2
7.6328964,-2.954457,-0.430196007751463,beta_1
-7.30436,-1.2663906,0.500809761293099,alpha_1
-9.835462,1.7732239,-0.214832283807551,alpha_1
6.937385,0.24866101,-1.66570182097132,beta_2
8.346573,-3.1933074,1.13630233791646,beta_1
8.794813,-2.8956125,0.977734268990027,beta_1
7.6867537,-1.5187432,-0.0720272862200427,beta_1
-9.290273,-1.6233715,0.000612012838220726,alpha_1
7.8347363,-1.444701,-1.09288283712396,beta_1
-0.4220281,-0.25171354,-0.900160238515651,delta_1
6.7266035,1.4540143,-0.485055391460734,beta_2
3.3550925,2.5473258,0.210231128194096,beta_2
6.2242227,2.1382468,0.376850894794544,beta_2
5.6474156,2.4059935,0.111150926462784,beta_2
6.299183,-2.5744357,0.267496952929057,beta_1
0.3549546,0.6329448,-0.555901226245739,delta_2
6.238054,0.23227924,0.520128680282975,beta_2
-10.324315,0.44550365,-0.472754530484585,alpha_1
-2.319779,3.495113,1.06798964167128,alpha_2
4.609501,2.3024826,2.17307207884372,beta_2
8.057473,-1.1115762,-0.743876227138056,beta_1
8.62773,-3.6401188,0.524267720343752,beta_1
-8.834753,-2.1581426,0.702076126606769,alpha_1
-2.469806,3.4076645,0.665231732233293,alpha_2
-8.75434,-2.6375504,0.252522731004389,alpha_1
8.204864,-0.9969177,0.994922905840153,beta_1
2.0533664,3.892873,0.264143742991087,beta_2
7.7540603,-2.7309716,-0.065949654849508,beta_1
-8.771828,-1.2136368,-1.29358071331564,alpha_1
5.327163,1.9801339,0.232761377849758,beta_2
8.396453,-3.5958743,0.170496173279113,beta_1
5.903053,-0.6483382,-1.23873422099819,beta_2
-3.2184803,2.807975,0.594917236297631,alpha_2
5.30808,0.17916231,1.08136711030369,beta_2
-10.546853,1.4891332,-1.74254848278974,alpha_1
4.942195,3.1582484,0.238407693065009,beta_2
-0.17407064,3.9845705,-1.49705661450674,beta_2
-2.5360909,4.4885116,0.827339999846279,alpha_2
9.183464,-0.26030487,0.647653673909837,beta_1
6.9425025,-3.2861722,-0.186464306115221,beta_1
2.3033843,3.068372,-0.552585411036287,beta_2
-10.6098995,1.4546316,-1.54776408754976,alpha_1
4.9881268,3.1447833,-0.297414275137126,beta_2
-0.010593692,3.875316,-0.208907801738185,beta_2
-7.6218724,-0.9330929,-1.1604252628554,alpha_1
7.292308,0.6252337,0.14605561136829,beta_2
-8.108098,-2.7677681,-1.43440178322344,alpha_1
5.281613,1.376671,-0.292681822773117,beta_2
7.362754,-1.3285968,-0.628886546993196,beta_1
-5.208942,2.0998275,0.643519607518361,alpha_2
-9.686717,1.4486628,-1.27788930220965,alpha_1
-10.033951,-0.24863577,0.548567781504881,alpha_1
-7.7977076,-2.3140774,1.27757370368004,alpha_1
-9.388937,0.28423494,1.42383935557998,alpha_1
8.634965,-1.9307203,0.114160573930527,beta_1
8.645073,-1.5352933,0.206198896156255,beta_1
6.952033,-2.5409744,-1.48892501584803,beta_1
-8.000192,0.06836218,0.25869621906526,alpha_1
-8.788632,-2.1093338,1.090767784917,alpha_1
5.713602,-3.7076871,-1.15876246711711,beta_1
7.0265064,-0.5628584,1.68245574608627,beta_2
-7.4152308,0.034776684,-0.452050668712911,alpha_1
5.9089856,0.16237564,-0.272859120946465,beta_2
-7.47059,0.24120454,-1.81379762964206,alpha_1
6.5373154,0.37066177,-0.39694891989914,beta_2
8.860682,-1.2841467,0.0206720312243022,beta_1
-2.6537397,3.2407966,0.36684565605473,alpha_2
9.265649,-2.6245718,1.17432456058225,beta_1
-8.6273155,-1.0108367,1.00974776335294,alpha_1
-10.39455,1.2881377,0.490783851573569,alpha_1
6.235397,-2.73591,0.673602300053372,beta_1
-7.56913,-0.6870265,-0.845769936368952,alpha_1
-4.8749504,1.8495413,1.9266629987372,alpha_2
-8.95986,-2.0776832,-0.341633835482388,alpha_1
-3.565132,4.5797935,-0.153514526276365,alpha_2
-3.5167243,2.6740842,1.23267665373598,alpha_2
8.417685,-0.056762952,-0.282615277375958,beta_1
6.1696644,-0.6414775,0.00351001349461737,beta_2
0.35868672,-0.17885993,-1.36717700967965,delta_1
6.8470006,-4.4235926,1.41373991652564,beta_1
-3.6100578,4.5912323,-0.820501025732902,alpha_2
-3.3961394,4.7481275,-1.47817121022572,alpha_2
2.9085217,2.1935341,-0.654541666659098,beta_2
9.281928,-2.7505026,2.63007081498999,beta_1
-3.7409923,3.924471,-0.856721967535071,alpha_2
-8.929128,1.4539493,-1.16847489330801,alpha_1
-3.028346,3.2654152,-1.03875047706864,alpha_2
1.6794611,3.7669606,-0.540333630464486,beta_2
-8.93937,-1.3490757,-0.621038586992902,alpha_1
-9.207882,1.4770981,0.100033340291505,alpha_1
-8.177011,0.23844129,-0.817765086064493,alpha_1
8.87857,-2.9579844,0.63304120784157,beta_1
7.430782,-1.4458504,-1.56975468923272,beta_1
8.132097,-3.759095,-0.479007100912948,beta_1
5.100955,1.0925976,0.797578923858117,beta_2
-10.2814045,1.3752577,-0.939175167268072,alpha_1
5.1724663,1.2653602,0.0489823281300436,beta_2
5.70984,2.11736,1.4131127215729,beta_2
-10.746285,0.6108578,1.02928931949403,alpha_1
5.6265817,-1.5272253,-1.07190857617516,beta_2
7.4037275,-3.031659,-0.450618321977335,beta_1
7.801411,0.023164403,1.5472906147095,beta_2
-4.419834,2.8425553,2.18204985923336,alpha_2
9.239726,-2.744181,-0.55474600459357,beta_1
-10.434303,-1.0765635,-0.985970337901813,alpha_1
6.1128373,2.0714905,-2.13373480330093,beta_2
-9.166376,-2.6614118,-0.284007154002686,alpha_1
-7.8875794,-1.7971321,1.1754356256299,alpha_1
8.541635,-1.65076,-0.294281658939445,beta_1
6.718627,0.9244648,-0.157614408028257,beta_2
5.7603374,-3.3249002,0.0355259215284347,beta_1
8.573485,-3.3243144,0.163941530256823,beta_1
6.938048,-3.5281062,-0.820744822496183,beta_1
0.1915086,-0.77092755,-2.47107014043505,delta_1
8.239168,-2.30457,-0.59151304259659,beta_1
8.46378,-3.3697774,-0.442717488985218,beta_1
6.820838,-3.6161652,-0.509894424099791,beta_1
9.019138,-2.7177148,-1.99570132416521,beta_1
