UMAP1,UMAP2,zval,cell_type_overall
-8.515821,1.5239079,1.62492146290576,alpha
-8.992585,-0.28724453,-0.550588874727128,alpha
-9.935698,1.7755075,-0.227203564148016,alpha
-7.871752,-2.6606605,1.16298467630666,alpha
-9.688768,1.8294665,-1.1807159057519,alpha
-7.377233,-0.7203727,-0.574400783419814,alpha
-9.252346,-2.206548,-1.90394191896748,alpha
-2.930374,3.0785196,0.280652699650193,alpha
-7.733745,-1.5750223,-2.08406909688,alpha
-8.023307,-0.0259566,0.404545270198073,alpha
-8.670868,-2.4501715,-0.609043689111924,alpha
-8.491774,-2.253164,0.981829646671479,alpha
-10.40007,-0.2391273,-1.264479723392,alpha
-10.361009,0.8389362,0.970919890028398,alpha
-10.652637,0.70168316,1.03447965838366,alpha
-7.7798557,-2.1909904,0.415208444224042,alpha
-7.169773,0.07581854,-0.243278096936672,alpha
-8.126657,-1.2207452,-1.21910975141082,alpha
-9.746881,-1.4472257,1.15877279327799,alpha
-8.103302,-0.3197118,-1.20027378439969,alpha
-3.6843708,2.738483,0.232825938301608,alpha
-7.095654,0.611846,-0.303088494150857,alpha
-9.198604,-2.179125,-0.566851113315585,alpha
-4.2873707,3.2639396,1.25900782740048,alpha
-7.1382384,-1.2240108,0.282148553867313,alpha
-7.894257,-2.5328147,-0.811213084686461,alpha
-9.904051,1.712939,-1.96945733069701,alpha
-3.191791,4.6833034,-0.989313454580635,alpha
-10.967053,0.68931425,-0.759323989757125,alpha
-7.30436,-1.2663906,-0.626397984512011,alpha
-9.835462,1.7732239,-0.28604635793063,alpha
-9.290273,-1.6233715,0.235576340377112,alpha
-10.324315,0.44550365,-1.17962080036611,alpha
-2.319779,3.495113,-0.582243143559226,alpha
-8.834753,-2.1581426,-0.627436285559133,alpha
-2.469806,3.4076645,-0.941547656454498,alpha
-8.75434,-2.6375504,-0.241120041568264,alpha
-8.771828,-1.2136368,-0.543281110328904,alpha
-3.2184803,2.807975,2.72249667067817,alpha
-10.546853,1.4891332,-1.57252499695912,alpha
-2.5360909,4.4885116,-1.48082227671798,alpha
-10.6098995,1.4546316,-2.02358103395306,alpha
-7.6218724,-0.9330929,-2.44384884163968,alpha
-8.108098,-2.7677681,-2.24694500765751,alpha
-5.208942,2.0998275,0.377807564631327,alpha
-9.686717,1.4486628,-0.375948469271348,alpha
-10.033951,-0.24863577,-0.174279788692659,alpha
-7.7977076,-2.3140774,-2.42433747508489,alpha
-9.388937,0.28423494,-1.25814057336058,alpha
-8.000192,0.06836218,-0.089399986787065,alpha
-8.788632,-2.1093338,-0.952729186886438,alpha
-7.4152308,0.034776684,-2.13300936658138,alpha
-7.47059,0.24120454,-2.44646157914815,alpha
-2.6537397,3.2407966,0.547915615210269,alpha
-8.6273155,-1.0108367,-0.561485978746642,alpha
-10.39455,1.2881377,0.282594918284373,alpha
-7.56913,-0.6870265,-1.49299313928185,alpha
-2.5476503,-2.4791028,2.14950470866719,gamma
-4.8749504,1.8495413,0.454010472436949,alpha
-8.95986,-2.0776832,0.0473429303726556,alpha
