UMAP1,UMAP2,zval,cell_type_overall
9.29785,-2.9890387,-0.00203360817050443,beta
-0.05742649,0.7815518,-0.832440994183524,delta
5.9265614,-1.1403046,-0.496827823807571,beta
6.8062835,-2.9192433,-0.446244826720121,beta
5.5730224,0.3931046,-2.02374911405112,beta
4.4016676,2.2521577,0.703497688743721,beta
5.022987,0.114109136,-0.507536874912211,beta
3.0471737,2.188912,-0.0933219210907818,beta
6.802472,-4.147774,1.06514413531083,beta
-0.2161605,1.9877115,0.677128826375041,delta
4.390519,1.7884153,-0.199453322987961,beta
4.140546,3.0620847,1.07558491991674,beta
7.373234,-3.1459377,-0.674443779123196,beta
7.348464,-4.4422255,-0.905061430481091,beta
4.5034184,2.428523,0.128434034904296,beta
5.9831614,2.6928327,0.135959702998727,beta
7.2814064,-4.428089,-1.80475780800799,beta
8.068532,-1.0382097,1.54053820523727,beta
5.2162075,1.9545051,1.54017096221914,beta
8.720618,-3.7381399,-0.987508653438774,beta
7.9261193,-4.0264945,-1.42750734044081,beta
5.101198,-0.1977986,0.0126228393823116,beta
7.704794,-4.1225476,-0.254418386842546,beta
7.5507784,-0.70426756,-0.00172440243032837,beta
6.012435,-3.3712175,0.0524402687941268,beta
6.7492394,-3.6977878,-1.24663824838539,beta
7.6087837,-3.872928,0.549751022834909,beta
7.75462,-1.4979968,0.64568365902854,beta
6.641629,-1.2844063,-0.249585224849097,beta
6.914643,-2.9024901,-2.12441652340722,beta
5.8358502,-3.5504212,-1.19086296316744,beta
4.8112583,2.5523736,1.13289480286666,beta
6.6268125,-2.4462092,0.822992675352791,beta
3.6295438,3.1722634,-1.27306205953055,beta
-0.31251606,-0.4737681,0.918929571842393,delta
5.470216,1.8898101,-0.648792757939045,beta
6.1352,-3.074676,-1.44234344929156,beta
-0.13667919,-0.9277905,3.0774879124984,delta
-0.25655866,-0.48525247,0.747444298094525,delta
6.899799,-2.4898882,-0.799120725816528,beta
6.885254,-1.970783,2.04996738311259,beta
8.597889,-2.0156252,0.267051620872366,beta
8.651827,-3.6376548,-1.91832214224394,beta
5.6593595,1.3735352,-1.19762598153606,beta
7.489981,-0.79968643,0.0507782827486672,beta
7.9365354,-3.0457628,-0.521493544200809,beta
7.435894,-3.0232885,0.218527164673077,beta
3.664657,2.9137905,-1.51644974439921,beta
7.9495125,-0.97659767,-0.247098951475645,beta
1.1828437,3.6468227,-0.058525741992984,beta
4.109384,2.87239,1.84474963394848,beta
7.6890955,-0.25436795,1.52963922631963,beta
7.6885133,-2.493086,-0.0100929651662565,beta
9.004509,-0.14525743,1.58325364427342,beta
7.002704,-1.2032723,-1.04207267444092,beta
3.503293,3.306831,0.372446151571857,beta
0.25497726,-0.94942206,-0.0268498391175626,delta
4.6438613,3.1075995,0.537204876251476,beta
6.8775053,-1.1486279,-0.271864991904473,beta
4.692451,2.9917538,-0.135476429972972,beta
5.7663226,-1.173203,-0.264240530403776,beta
9.10608,-1.3675661,0.783870313318202,beta
5.857903,-0.76220924,1.24267571033831,beta
6.4304976,-4.358419,-2.73283222874147,beta
6.9135513,0.81250817,0.202740366249179,beta
7.704173,-2.8976655,0.778591025498808,beta
2.1576161,3.5724022,-0.629932269762725,beta
6.719298,-2.9289117,-0.741451486221039,beta
6.547197,1.6532633,0.591424910257985,beta
8.647873,-2.4278316,-1.3594394325519,beta
8.336548,-2.635538,-0.851007882929063,beta
6.359828,-3.171131,-0.38837391212875,beta
5.7894354,1.0681833,1.63936612465409,beta
7.989452,-4.342075,-1.11678756587578,beta
7.978874,-4.122193,-1.72148845090374,beta
3.7055857,3.1691,-0.688267756610259,beta
6.9857287,-4.1113434,-0.275160520642506,beta
9.194035,-1.7490621,0.0213137750940154,beta
7.573401,-3.1583617,-0.484089361795167,beta
5.0622706,1.5085797,-2.03330860007081,beta
6.158407,-3.712306,-0.653528786617557,beta
8.279462,-3.1846557,-2.15293336470541,beta
5.5051203,0.6492815,-1.51242107618031,beta
5.6122746,-1.0705779,-0.611339497162511,beta
8.567711,-0.91071093,2.31315973923128,beta
9.559974,-1.8758881,2.16563610822509,beta
0.41392753,-0.7041415,1.8618933160457,delta
6.427136,-1.0192373,-1.39206564139916,beta
5.4398375,2.393817,0.0807308167271385,beta
7.1054115,-4.68363,2.03275728663388,beta
8.900408,-3.0761712,-0.476496927464022,beta
