"",beta,delta,alpha,gamma,immune,stellate,endothelial,ductal,acinar
HOXA2,0.922004269343436,1,0.367709394390249,0.469508910399024,0.478796887985039,0,0.240830100044035,0.512642796942589,0.234576656556985
MEOX1,0.914718309069687,1,0.350827205567539,0.514418145599925,0.471127968242394,0,0.374680370640733,0.471459921707987,0.163902986970341
EVX2,0.987376654741735,1,0.363949437311705,0.48208161615691,0.526876309610991,0,0.369059729887016,0.478380878680487,0.195835022565087
Rfx1,0.77941314525461,0.933760598465701,1,0.966876496635918,0.612361145685018,0,0.346358603961942,0.12511299831159,0.226941435260023
RFX5,0.773371599990232,0.886895925737196,0.839498322177873,1,0.604823535286765,0,0.378503562030548,0.112554680550098,0.238487511605216
RFX3,0.738379236054715,0.873002740264961,0.829226569001762,1,0.546568677448896,0,0.412254295933915,0.0288783152768845,0.2259130166301
RFX2,0.757519308266914,0.897617954512847,0.83710784214661,1,0.547483630324932,0.0232091476305987,0.376421118754307,0,0.270553184291729
RFX4,0.770233280524819,0.925097367686396,0.878479549877595,1,0.557832996542723,0,0.352413418525702,0.00654392832215373,0.25681963212293
Tcf12,1,0.801020617502137,0.706476503618606,0.713616962632328,0.398885857470395,0.176171678956384,0,0.0498217207922936,0.25012569552413
TAL1::TCF3,1,0.96439049782614,0.950799673589615,0.707379181184068,0.686526438143905,0.271277692213983,0.376996938353386,0,0.322412107705521
NEUROD1,1,0.911838943205089,0.833695971529866,0.70446947550925,0.591012918261768,0.00532290457593949,0.171644476546359,0.0121595603517603,0
Tcf21,1,0.989869599027368,0.944868959115107,0.819603626683383,0.617306453646689,0.148509008239202,0.280828372365349,0,0.00136256817662093
FOXP3,0.987071238055549,0.580686704392907,1,0.99817624158667,0.663606026281803,0,0.589806925487152,0.750701388803672,0.987085787078045
FOXO6,0.987071238055549,0.580686704392907,1,0.99817624158667,0.663606026281803,0,0.589806925487152,0.750701388803672,0.987085787078045
FOXO4,0.987071238055549,0.580686704392907,1,0.99817624158667,0.663606026281803,0,0.589806925487152,0.750701388803672,0.987085787078045
FOXD2,0.987071238055549,0.580686704392907,1,0.99817624158667,0.663606026281803,0,0.589806925487152,0.750701388803672,0.987085787078045
FOXI1,0.987071238055549,0.580686704392907,1,0.99817624158667,0.663606026281803,0,0.589806925487152,0.750701388803672,0.987085787078045
FOXL1,0.987071238055549,0.580686704392907,1,0.99817624158667,0.663606026281803,0,0.589806925487152,0.750701388803672,0.987085787078045
