UMAP1,UMAP2,zval,cell_type_overall
-3.1494293,4.5993857,-1.05721017394985,alpha
-10.357726,-1.3690745,2.0447879655987,alpha
-3.4372253,3.6480033,-0.435117714607761,alpha
-3.396379,4.6619673,-1.9723183030939,alpha
-5.0944047,2.0352316,1.5623999611274,alpha
-10.007995,-1.51942,1.12003793564191,alpha
-9.3766775,-2.369424,0.189693191438817,alpha
-7.1392746,0.8926823,-1.93513350577705,alpha
-8.52401,-2.4021206,-0.974125485810718,alpha
-2.4818091,3.0880654,1.11604863130479,alpha
-10.614918,-0.48720437,1.49845433765747,alpha
-8.205127,-2.0713065,-0.92635385260396,alpha
-10.873109,0.59279937,1.50251916987174,alpha
-8.225884,-0.7383254,-2.68151429321851,alpha
-7.336874,-0.22601512,-0.269428523416708,alpha
-3.6613395,3.9847472,-0.949022499542129,alpha
-9.146223,1.2760397,0.712839877131188,alpha
-8.163808,-2.1049998,-1.11714648565978,alpha
-7.304824,0.93943983,-1.39214734732506,alpha
-10.331384,0.51573545,0.197204618803879,alpha
-9.519,1.3357452,1.05183716950103,alpha
-8.237228,-1.785838,0.538950510160383,alpha
-7.114434,1.0136708,-2.32339476245067,alpha
-8.663087,-2.059006,-1.63745467531776,alpha
-7.1846333,-0.23845185,-1.92898591368153,alpha
-9.433323,-2.1293504,0.800083011426064,alpha
-3.5619113,3.1359603,-1.36043049858743,alpha
-8.058988,-2.1932847,0.904818572705549,alpha
-8.349038,-0.3808567,-1.73467953775107,alpha
-7.9709477,-2.1293502,-1.06536543375048,alpha
-4.0348153,3.3147051,1.12171612109419,alpha
-9.508471,0.9012061,-0.788131510450061,alpha
-10.372022,-1.0760086,0.433211895472209,alpha
-9.042878,0.20001596,-0.0920898420099642,alpha
-9.9545145,0.9927573,1.28500170237239,alpha
-8.539578,-2.3695915,-0.463682575184037,alpha
-9.01187,-1.004549,-0.454884352645751,alpha
-7.520162,-1.8878956,-2.0302516255067,alpha
-9.375886,1.390116,-0.144721628550905,alpha
-7.921012,0.41563866,-0.738641735551992,alpha
-9.285163,-1.0286667,-1.06488999924043,alpha
-8.40592,0.86825055,-0.646614331086367,alpha
-8.168047,-0.74941,-2.0980626721361,alpha
-8.514221,-1.677165,-0.174158244116176,alpha
-7.2415223,-0.49057716,-0.726105366819343,alpha
-6.81374,0.031576447,-3.35657253748893,alpha
-9.525447,-0.67008877,-1.27734379083733,alpha
-6.847661,0.022859238,-3.05546818680448,alpha
-7.514285,1.3097795,-0.768011014022535,alpha
-10.166571,0.25286785,-1.65944359360156,alpha
-2.4958038,-2.4268909,-2.31772942265299,gamma
-5.429863,2.4980466,-2.05564809885709,alpha
-3.9018729,2.4986274,-0.469512777138598,alpha
-10.156094,-1.0469458,0.852835777435568,alpha
-3.560343,4.0240483,-1.81292930596122,alpha
-7.4476247,1.3834404,-1.0091595509222,alpha
-10.020174,-1.7432194,1.22433515704124,alpha
-7.345814,-1.510881,-0.990121599498354,alpha
-9.031613,-2.7254708,-0.158937344148956,alpha
-8.732606,-1.0569222,0.342269467624039,alpha
-3.2885716,4.500113,-0.768439020092899,alpha
-7.4809165,-1.2201833,-0.848782965107923,alpha
-11.031488,0.14881895,1.01495131384697,alpha
-9.472835,-1.7750324,1.6844561215963,alpha
-8.890053,0.33258924,-1.30358603500245,alpha
-7.3102007,-0.9086482,-0.864302566424344,alpha
-6.9029493,-0.4061288,0.371346557830947,alpha
-10.134002,-0.36824587,0.720618818416148,alpha
-7.8857517,-1.2324787,0.295636603572727,alpha
-8.515821,1.5239079,-0.731795047672567,alpha
-8.992585,-0.28724453,0.833102662959602,alpha
-9.935698,1.7755075,1.94537924723318,alpha
-7.871752,-2.6606605,-1.21848806656226,alpha
-9.688768,1.8294665,0.439637502509945,alpha
-7.377233,-0.7203727,-1.5435995437779,alpha
-9.252346,-2.206548,0.0622243310075902,alpha
-2.930374,3.0785196,0.418013877280272,alpha
-7.733745,-1.5750223,-1.7756642622999,alpha
-8.023307,-0.0259566,-1.15346462455107,alpha
-8.670868,-2.4501715,-0.301574923459218,alpha
-8.491774,-2.253164,-0.4402264755352,alpha
-10.40007,-0.2391273,0.310482940140076,alpha
-10.361009,0.8389362,0.661031039223021,alpha
-10.652637,0.70168316,1.21049606495427,alpha
-7.7798557,-2.1909904,-0.616766614864263,alpha
-7.169773,0.07581854,-1.86031753575218,alpha
-8.126657,-1.2207452,-2.26048950612981,alpha
-9.746881,-1.4472257,0.387995562970376,alpha
-8.103302,-0.3197118,-0.776391521797223,alpha
-3.6843708,2.738483,-0.380844987029367,alpha
-7.095654,0.611846,-0.675703911828796,alpha
-9.198604,-2.179125,-0.347473672425926,alpha
-4.2873707,3.2639396,2.36775402906641,alpha
-7.1382384,-1.2240108,-0.518230394108664,alpha
-7.894257,-2.5328147,0.712227036799348,alpha
